060,冷凍食品,0066,明治(アイス),01944,03,ﾒｲｼﾞﾌｧﾐﾘｱﾊﾞﾆﾗ2L,明治ﾌｧﾐﾘｱﾊﾞﾆﾗ2L,ﾊﾞﾆﾗ2L,1673,648,360,する,する,する,する,000,スポット商品(冷凍)
060,冷凍食品,0066,明治(アイス),01945,03,ﾒｲｼﾞﾌｧﾐﾘｱﾊﾞﾆﾗ&ﾁｮｺ2L,明治ﾌｧﾐﾘｱﾊﾞﾆﾗ＆ﾁｮｺ2L,ﾌｧﾐﾘｱ,1673,648,360,する,する,する,する,000,スポット商品(冷凍)
060,冷凍食品,0064,森永(アイス),02131,03,Mｻﾝｷｽﾄﾐﾆﾌﾙｰﾂﾊﾞｰ16ﾎﾝ,Mｻﾝｷｽﾄﾐﾆﾌﾙｰﾂﾊﾞｰ16本,ﾐﾆﾌﾙｰﾂ,1672,245,160.2,する,する,する,する,000,スポット商品(冷凍)
060,冷凍食品,0090,クスリのアオキ,05999,00,ﾆﾁﾚｲﾀﾂｱｱｹﾞ240g,ﾆﾁﾚｲ和風若鶏竜田揚240g,竜田揚げ,1661,461,310,する,する,する,する,000,スポット商品(冷凍)
060,冷凍食品,0090,クスリのアオキ,05022,01,ﾌﾗｲﾄﾞﾎﾟﾃﾄ300g,ﾊｲﾝﾂ細切りﾌﾗｲﾄﾞﾎﾟﾃﾄ300g,ﾌﾗｲﾄﾞﾎﾟﾃﾄ,1612,204,126,する,する,する,する,000,スポット商品(冷凍)
080,菓子・パン,0108,全日食(ﾊﾟﾝ・菓子),06000,00,ｵﾔｼﾞﾉﾀｶﾗﾊﾞｺｲｶｸﾝ30g,おやじの宝箱いかくん30g,いかくん,819,103,71,する,する,する,する,001,スポット商品
080,菓子・パン,0108,全日食(ﾊﾟﾝ・菓子),06001,00,ｵﾔｼﾞﾉﾀｶﾗﾊﾞｺｲｶｿｳﾒﾝ24g,おやじの宝箱ｲｶｿｳﾒﾝ24g,ｲｶｿｳﾒﾝ,819,103,71,する,する,する,する,001,スポット商品
090,酒類,0030,日本酒販㈱金沢支店,00751,06,ｱｻﾋｽｰﾊﾟｰﾄﾞﾗｲ350ml24ﾎﾝ1ｹｰ,ｱ)ｽｰﾊﾟｰﾄﾞﾗｲ350ml　24缶,ｽﾊﾟﾄﾞﾗｲ,911,5040,4038,する,する,する,する,001,スポット商品
090,酒類,0030,日本酒販㈱金沢支店,00787,04,ｷﾞﾝﾚｲﾀﾃﾔﾏﾎﾝｼﾞｮｳｿﾞｳ1.8L,銀嶺立山本醸造1.8㍑,立山本醸造,921,1934,1405,する,する,する,する,001,スポット商品
100,バラエティー,0090,クスリのアオキ,06002,00,ﾊﾐﾝｸﾞﾚｷﾞｭﾗｰﾉｳｼｭｸﾂﾒｶｴ540,花王ﾊﾐﾝｸﾞﾚｷﾞｭﾗｰ濃縮詰替,ﾊﾐﾝｸﾞ,1021,276,198,する,する,する,する,001,スポット商品
001,その他,0001,森永乳業,99394,00,ｻﾝｷｽﾄﾋﾟｰﾁｾﾞﾘｰ,森永ｻﾝｷｽﾄﾋﾟｰﾁｾﾞﾘｰ,ﾋﾟｰﾁｾﾞﾘｰ,9999,699,480,する,しない,する,する,001,スポット商品
100,バラエティー,0126,amazon,01595,00,ﾃﾞﾝﾀｸ,ｶｼｵ電卓,電卓,5000,2623,1644.76,する,する,する,する,001,スポット商品
080,菓子・パン,0108,全日食(ﾊﾟﾝ・菓子),06003,00,ｶﾒﾀﾞﾃｼｵﾔ9ﾏｲ,亀田手塩屋せんべい9枚,手塩屋9枚,814,163,129,する,する,する,する,001,スポット商品
050,ディリー食品,0105,全日食(和日配）,04237,03,ﾁｮｳｼﾞﾁｳﾄﾞﾝ,長七熟成延打うどん200g,うどん,511,34,30,する,する,する,する,001,スポット商品
050,ディリー食品,0105,全日食(和日配）,03623,03,ｷﾞﾄｰﾅﾒﾗｶｷﾇ3P,ｷﾞﾄｰなめらか絹3P,なめらか絹,512,111,85,する,する,する,する,001,スポット商品
060,冷凍食品,0090,クスリのアオキ,06004,00,ﾃｰﾌﾞﾙｻｸｳﾏｴﾋﾞﾌﾗｲ5ﾎﾝ,ﾃ）ｻｸうまっ!ｴﾋﾞﾌﾗｲ5本入,ｴﾋﾞﾌﾗｲ5本,1611,204,160,する,する,する,する,000,スポット商品(冷凍)
070,ドライ食品,0107,全日食(ドライ),04021,01,ｴｽｴｽ)ｴｽｶｯﾌﾟ10本,ｴｽｴｽ)ｴｽｶｯﾌﾟ10本,ｴｽｶｯﾌﾟ,743,820,650,する,する,する,する,001,スポット商品
100,バラエティー,0111,全日食(バラエティ）,05076,02,ｱｰｽ ｱｰｽｼﾞｪｯﾄ300ml,ｱｰｽ ｱｰｽｼﾞｪｯﾄ300ml,ｱｰｽｼﾞｪｯﾄ,1040,204,162,する,する,する,する,001,スポット商品
010,青果物,0033,江口青果株式会社,01278,31,ﾎｳﾚﾝｿｳ,ほうれん草 １束,ほうれん草,112,183,150,する,する,する,する,001,スポット商品
040,デリカ,0029,志のぶ商事㈱北陸支店,04677,02,ｳﾄﾞﾝｽｼｾｯﾄ,しゃりー)うどん寿司ｾｯﾄ,ｳﾄﾞﾝｽｼ,415,358,292,する,する,する,する,001,スポット商品
040,デリカ,0029,志のぶ商事㈱北陸支店,04678,02,ｿﾊﾞｽｼ,しゃりー)そば寿司ｾｯﾄ,そば・寿司,415,358,292,する,する,する,する,001,スポット商品
050,ディリー食品,0105,全日食(和日配）,03160,06,ﾛﾏﾝﾃｲﾅﾏｷﾞｮｳｻﾞ10ﾂﾌﾞ,浪漫亭生餃子10粒,生餃子10,518,101,78,する,する,する,する,001,スポット商品
050,ディリー食品,0105,全日食(和日配）,03489,06,ｷｮｳﾄﾉｱﾂｱｹﾞ2ｺ,京洛庵 京都の厚揚げ2個,京都厚揚げ,512,81,64,する,する,する,する,001,スポット商品
060,冷凍食品,0064,森永(アイス),02128,02,ﾚﾝﾆｭｳｺｵﾘﾊﾞｰ50ml*7ﾎﾝ,Mれん乳氷ﾊﾞｰ50ml*7本,れん乳氷ﾊﾞ,1672,204,160.2,する,する,する,する,000,スポット商品(冷凍)
070,ドライ食品,0107,全日食(ドライ),04491,04,ﾊｳｽｶﾘｰﾔｶﾚｰｱﾏｸﾁ,ﾊｳｽｶﾘｰ屋ｶﾚｰ甘口200g,ｶﾚｰ甘口,718,90,68,する,する,する,する,001,スポット商品
070,ドライ食品,0107,全日食(ドライ),03163,06,ﾊｳｽｶﾘｰﾔｶﾚｰﾁｭｳｶﾗ200g,ﾊｳｽｶﾘｰ屋ｶﾚｰ中辛200g,ｶﾘｰ屋中辛,718,90,68,する,する,する,する,001,スポット商品
070,ドライ食品,0107,全日食(ドライ),03841,03,ｱｼﾞﾉﾓﾄﾎﾝﾀﾞｼ120g,味の素ほんだし120g箱,ほんだし,739,297,230,する,する,する,する,001,スポット商品
030,鮮魚・塩干魚,0048,竹本商店,04359,04,ｱｼﾞ1ﾊﾟｯｸ,いきいき七尾魚あじ1ﾊﾟｯｸ,1ﾊﾟｯｸ,311,306,240,する,する,する,する,001,スポット商品
010,青果物,0033,江口青果株式会社,00330,27,ﾕｷｸﾞﾆｴﾘﾝｷﾞ100g,雪国ｴﾘﾝｷﾞ100ｇ,雪国ｴﾘﾝｷﾞ,114,124,80,する,する,する,する,001,スポット商品
020,精肉・加工肉,0102,全日食(精肉･加工肉),06005,00,ｸﾞﾘｺﾊﾑｵｲｼｲﾁｮｳｼｮｸﾊｰﾌﾍﾞｰｺﾝ,ｸﾞﾘｺ朝食ﾊｰﾌﾍﾞｰｺﾝ42g,ﾊｰﾌﾍﾞｰｺﾝ,271,113,75,する,する,する,する,001,スポット商品
050,ディリー食品,0105,全日食(和日配）,04202,04,ｼﾏﾀﾞﾔ3ｼｮｸﾔｷｿﾊﾞｿｰｽﾂｷ,ｼﾏﾀﾞﾔ3食焼そばｿｰｽ付,ﾔｷｿﾊﾞ3食,511,124,84,する,する,する,する,001,スポット商品
070,ドライ食品,0107,全日食(ドライ),04885,02,ｶｺﾞﾒｳｽﾀｰｿｰｽｼﾞｮｳｿﾞｳ500ml,ｶｺﾞﾒ ｳｽﾀｰｿｰｽ醸熟500ml,ｳｽﾀｰ,731,247,160,する,する,する,する,001,スポット商品
080,菓子・パン,0108,全日食(ﾊﾟﾝ・菓子),05321,02,ｼｵｱﾒ,春日井 塩あめ160g,塩あめ,815,133,97,する,する,する,する,001,スポット商品
100,バラエティー,0111,全日食(バラエティ）,04109,01,ﾗｲｵﾝ ﾎﾜｲﾄｸﾚﾝｻﾞｰ400g,ﾗｲｵﾝ ﾎﾜｲﾄｸﾚﾝｻﾞｰ400g,ﾎﾜｲﾄ,1022,103,68,する,する,する,する,001,スポット商品
030,鮮魚・塩干魚,0048,竹本商店,05914,01,ﾌﾗｲﾖｳｷｽﾋﾗｷ,ﾌﾗｲ用ｷｽ開き,ﾌﾗｲ用ｷｽ,311,235,150,する,する,する,する,001,スポット商品
030,鮮魚・塩干魚,0048,竹本商店,06006,00,ﾀﾁｳｵｷﾘﾐ,いきいき七尾魚ﾀﾁｳｵ切身ﾊﾟ,たちうお,311,306,200,する,する,する,する,001,スポット商品
030,鮮魚・塩干魚,0116,七尾魚市場,04613,02,ｶﾚｲﾎﾝﾐﾘﾝ,ｻｽｲﾁかれい本みりん3切,かれい3切,341,410,280,する,する,する,する,001,スポット商品
020,精肉・加工肉,0079,騎寄精肉店,02471,06,ﾜｷﾞｭｳｷﾞｭｳﾓﾓﾊﾞﾗﾔｷﾆｸﾖｳ150g,和牛ﾓﾓﾊﾞﾗ焼肉用150g,牛ﾓﾓﾊﾞﾗ,211,687,477.14,する,する,する,する,001,スポット商品
020,精肉・加工肉,0079,騎寄精肉店,02016,08,ｺｸｻﾝﾌﾞﾀﾛｰｽｽﾃｰｷﾖｳ*2,国産豚ﾛｰｽｽﾃｰｷ用90g*2,豚ｽﾃｰｷ,221,462,315.24,する,する,する,する,001,スポット商品
