9291816,石川県,鹿島郡中能登町,浅井,7,鳥屋,火　金
9291813,石川県,鹿島郡中能登町,蟻ケ原,0,配達適用外地域,無し
9291804,石川県,鹿島郡中能登町,在江,7,鳥屋,火　金
9291721,石川県,鹿島郡中能登町,井田,3,鹿島,月　木
9291713,石川県,鹿島郡中能登町,今羽坂,7,鳥屋,火　金
9291702,石川県,鹿島郡中能登町,大槻,7,鳥屋,火　金
9291724,石川県,鹿島郡中能登町,尾崎,3,鹿島,月　木
9291722,石川県,鹿島郡中能登町,小竹,3,鹿島,月　木
9291521,石川県,鹿島郡中能登町,金丸,11,鹿西,水　土
9291606,石川県,鹿島郡中能登町,上後山,11,鹿西,水　土
9291701,石川県,鹿島郡中能登町,川田,7,鳥屋,火　金
9291631,石川県,鹿島郡中能登町,久江,3,鹿島,月　木
9291801,石川県,鹿島郡中能登町,久乃木,3,鹿島,月　木
9291716,石川県,鹿島郡中能登町,黒氏,7,鳥屋,火　金
9291636,石川県,鹿島郡中能登町,小金森,0,配達適用外地域,無し
9291632,石川県,鹿島郡中能登町,小田中,0,配達適用外地域,無し
9291726,石川県,鹿島郡中能登町,最勝講,3,鹿島,月　木
9291605,石川県,鹿島郡中能登町,下後山,11,鹿西,水　土
9291712,石川県,鹿島郡中能登町,新庄,7,鳥屋,火　金
9291704,石川県,鹿島郡中能登町,末坂,7,鳥屋,火　金
9291812,石川県,鹿島郡中能登町,石動山,0,配達適用外地域,無し
9291706,石川県,鹿島郡中能登町,瀬戸,7,鳥屋,火　金
9291815,石川県,鹿島郡中能登町,芹川,3,鹿島,月　木
9291637,石川県,鹿島郡中能登町,曽祢,11,鹿西,水　土
9291635,石川県,鹿島郡中能登町,高畠,0,配達適用外地域,無し
9291802,石川県,鹿島郡中能登町,武部,3,鹿島,月　木
9291805,石川県,鹿島郡中能登町,坪川,7,鳥屋,火　金
9291817,石川県,鹿島郡中能登町,徳前,3,鹿島,月　木
9291603,石川県,鹿島郡中能登町,徳丸,11,鹿西,水　土
9291803,石川県,鹿島郡中能登町,西,7,鳥屋,火　金
9291601,石川県,鹿島郡中能登町,西馬場,11,鹿西,水　土
9291811,石川県,鹿島郡中能登町,二宮,3,鹿島,月　木
9291818,石川県,鹿島郡中能登町,二宮あおば台,3,鹿島,月　木
9291602,石川県,鹿島郡中能登町,能登部上,11,鹿西,水　土
9291604,石川県,鹿島郡中能登町,能登部下,11,鹿西,水　土
9291714,石川県,鹿島郡中能登町,羽坂,7,鳥屋,火　金
9291705,石川県,鹿島郡中能登町,花見月,7,鳥屋,火　金
9291814,石川県,鹿島郡中能登町,原山,0,配達適用外地域,無し
9291703,石川県,鹿島郡中能登町,春木,7,鳥屋,火　金
9291725,石川県,鹿島郡中能登町,東馬場,3,鹿島,月　木
9291711,石川県,鹿島郡中能登町,廿九日,7,鳥屋,火　金
9291715,石川県,鹿島郡中能登町,一青,7,鳥屋,火　金
9291634,石川県,鹿島郡中能登町,福田,0,配達適用外地域,無し
9291633,石川県,鹿島郡中能登町,藤井,0,配達適用外地域,無し
9291723,石川県,鹿島郡中能登町,水白,3,鹿島,月　木
9291717,石川県,鹿島郡中能登町,良川,7,鳥屋,火　金
