201,313-10
202,7251-02
203,324-07
204,323-06
205,1068-06
206,1074-04
207,815-11
208,318-07
209,321-07
210,5796-06
211,320-07
212,322-11
213,816-08
214,904-08
215,4167-07
216,4168-07
217,6483-04
218,362-04
219,6484-03
220,7514
221,4526
222,6167-02
223,6168-01
224,6169-02
225,6170-02
226,6968-06
227,2825-10
228,2856-05
229,1277-08
230,4624-05
231,924-05
232,4717-04
233,6997-03
234,4479-09
235,6526-04
236,8006-01
237,3349-01
238,6790-07
239,3509-09
240,3148-11
241,7340-06
242,4721-04
251,2463-07
252,2015-21
253,1963-04
254,3515-02
255,3516-09
256,3517-07
257,2248-13
258,3513-03
259,1964-10
260,2105-31
261,2457-04
262,8046-01
263,2464-05
264,3510-04
265,3512-03
266,7758-02
267,2451-19
268,2976-13
269,5003-10
270,3246-01
271,6007-15
272,3520-04
273,8007
274,2949-16
275,5169-01
276,6173-09
277,7048
278,7943-01
279,1186-08
280,4460-07
281,5235-05
282,5236-06
283,3323
284,5116
285,4628-05
286,4847-06
287,4230-07
288,3845-02
289,3529-06
290,3147-04
295,2662-04
296,2661-06
297,2027-06
298,1613-04
299,2660-06
300,1611-04
301,1612-05
302,2663-02
303,4607-03
304,442-08
305,7370-01
306,440-11
307,444-12
308,2107-07
309,4781-04
310,453-04
311,454-04
312,455-05
313,5798-02
314,7607-01
315,3594-06
316,3595-06
317,7524-01
318,3596-01
319,3597-06
320,8074
321,8075
322,8076
323,6933-03
324,4972-01
325,3464-02
326,7050-06
327,8077
328,6753-05
329,1780-03
330,5153-02
331,7051-05
332,8078
333,8079
334,3553-03
341,6530-09
342,6531-09
343,6557-04
344,6692-07
345,5057-02
346,7387-04
347,3371-03
348,2746-23
349,3730-14
350,2747-16
351,1646-18
352,3733-09
353,1721-13
354,1720-15
355,2695-08
356,1655-20
357,3734-13
358,2752-11
359,1727-25
360,3394-03
361,1718-16
362,4981-11
363,7167
364,1729-26
365,1638-06
366,1640-04
367,1641-05
368,1639-04
369,1642-04
370,2128-06
371,7166-02
372,1656-20
373,4346-08
374,7940-02
375,2627-10
376,4601-09
377,1650-25
378,1652-16
379,1647-14
380,1649-12
381,1648-08
382,3072-08
383,3073-09
384,3074-07
391,3610-04
392,3611-03
393,4574-03
394,7652
395,4202-07
396,3052-08
397,4504-01
398,4381-02
399,4680-04
400,1621-05
401,1622-05
402,7388-01
403,4270-09
404,4357-09
405,6488-02
406,6487-02
407,4234-14
408,4238-06
409,5125-01
410,4726-02
411,6865-04
412,7058-03
413,1426-07
414,1480-02
415,4444-11
416,4572-04
417,3690-04
418,3489-09
419,5801-03
420,7560-01
421,7430-05
422,4447-02
423,3161-07
424,4233-07
425,3162-10
426,8004-01
427,7274-03
428,1495-02
429,1499-02
430,8087
431,4245-05
432,4246-04
433,3634-06
434,4375-01
435,4200-03
436,4640-03
437,5983-03
438,5167-02
439,3559-07
440,6509-03
441,6510-02
442,3560-02
443,3642-04
444,3643-01
445,5258-03
446,4327-09
447,7260-03
448,7743-02
449,3644-14
450,3262-02
451,3646-08
452,7619-01
453,7592-01
454,7937-01
455,3493-05
456,3492-04
457,4241-06
458,7130-01
459,3494-04
460,7983-01
461,4510-02
462,3688-01
463,3566-03
464,3649-03
465,7986-01
466,8088
467,8089
468,7988-01
469,7275-03
470,7277-03
471,3656-13
472,6149-05
473,6184-04
474,5364-01
475,4573-02
476,4860-06
477,5339-01
478,3572-11
479,3662-08
480,3660-03
481,3659-04
482,3154-10
483,6752-01
484,4454-03
485,4516-04
486,4863-03
487,3663-06
488,4759-02
489,3665-10
490,7660
491,8090
492,8091
493,8092
494,4633-02
495,7077
496,7078
497,340-03
498,1116-05
499,4273-06
500,3582-04
501,4185-04
502,3726-02
503,3057-06
504,3857-10
505,5262-03
506,7921-01
507,7662
508,3728-03
509,8093
510,8094
511,966-08
512,5027-12
513,7321-04
514,1440-09
515,1765-07
516,1427-12
517,1753-05
518,502-09
519,4617-04
520,964-06
521,3670-04
522,963-08
523,500-07
524,498-05
525,860-06
526,825-06
527,6697-08
528,7663-01
529,4428-02
530,3672-04
531,4462-11
532,3723-02
533,7374-05
534,508-14
535,506-08
536,7060
537,7061
538,829-13
539,509-07
540,511-04
541,6829-04
542,6828-04
543,512-04
544,7096
545,6872-01
546,6867-03
547,6807-02
548,516-06
549,3438-02
550,6938-02
581,3737-03
582,4274-09
583,4311-06
584,4336-04
585,3741-06
586,7082
587,4643-06
588,3094-05
589,3740-05
590,5828-02
591,7664-02
592,7666-02
593,6191-02
594,7665
595,7159-01
596,8080
597,3747-02
598,3752-03
599,8081
600,8082
601,3750-03
602,3751-02
603,8083
604,7099
605,8084
606,1000-10
607,3743-02
608,7668
609,5832-03
610,4905-03
611,7669
612,6194-02
613,8085
614,6578-01
615,8086
616,3099-04
617,3768-04
618,3769-04
619,3770-09
620,5833-03
621,3772-11
622,3773-05
623,3774-15
624,4593-15
625,7270-02
626,3777-06
627,3780-06
628,4551-06
629,4615-09
630,8111
631,5835-05
632,8112
633,3781-06
634,3782-06
635,5834-07
636,7435-02
637,3785-15
638,3786-12
639,4594-15
640,3789-09
641,3143-09
642,3144-09
643,3092-11
644,3093-10
645,7062-03
646,7670-03
647,3790-08
648,7106-05
649,5839-10
650,6718-05
651,3793-08
652,6970-08
653,3798-20
654,7065-03
655,8113
