9200907,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｵｸｻﾏﾁ,石川県,金沢市,青草町,0,配達適用外地域,無し,,,,,,,,,,,,
9201322,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｵﾀﾞﾆﾏﾁ,石川県,金沢市,相合谷町,0,配達適用外地域,無し,,,,,,,,,,,,
9200926,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｶﾂｷﾏﾁ,石川県,金沢市,暁町,8,平和町,火金,,,,,,,,,,,,
9200353,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｶﾂﾁﾏﾁ,石川県,金沢市,赤土町,5,金石,月木,,,,,,,,,,,,
9200111,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｻｵｶﾏﾁ,石川県,金沢市,浅丘町,0,配達適用外地域,無し,,,,,,,,,,,,
9201132,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｻｶﾔﾏﾁ,石川県,金沢市,朝加屋町,0,配達適用外地域,無し,,,,,,,,,,,,
9201145,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｻｶﾜﾏﾁ,石川県,金沢市,浅川町,0,配達適用外地域,無し,,,,,,,,,,,,
9200841,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｻﾉﾎﾝﾏﾁ,石川県,金沢市,浅野本町,0,配達適用外地域,無し,,,,,,,,,,,,
9200126,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｻﾋﾏｷﾏﾁ,石川県,金沢市,朝日牧町,4,田上,火金,,,,,,,,,,,,
9200941,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｻﾋﾏﾁ,石川県,金沢市,旭町,4,田上,火金,,,,,,,,,,,,
9201107,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱｽﾞｷｻﾞﾜﾏﾁ,石川県,金沢市,小豆沢町,0,配達適用外地域,無し,,,,,,,,,,,,
9200996,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱﾌﾞﾗｸﾞﾙﾏ,石川県,金沢市,油車,0,配達適用外地域,無し,,,,,,,,,,,,
9201331,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱﾏｲｹﾏﾁ,石川県,金沢市,天池町,0,配達適用外地域,無し,,,,,,,,,,,,
9203124,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱﾗﾔ,石川県,金沢市,荒屋,0,配達適用外地域,無し,,,,,,,,,,,,
9203125,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,ｱﾗﾔﾏﾁ,石川県,金沢市,荒屋町,0,配達適用外地域,無し,,,,,,,,,,,,
